ç
"Município","ibge","latitude","longitude","Especial Censo 2022/População/Situação do domicílio/Percentual de População Urbana 2022 (%)"
"Restinga Sêca","4315503","-29,813949000000","-53,370569000000","61,3"
"Rio dos Índios","4315552","-27,298398000000","-52,840058000000","32,3"
"Rio Grande","4315602","-32,050446000000","-52,086770000000","95,6"
"Rio Pardo","4315701","-29,985626000000","-52,379018000000","70,1"
"Riozinho","4315750","-29,642286000000","-50,473818000000","64,5"
"Roca Sales","4315800","-29,285070000000","-51,863892000000","71,3"
"Rodeio Bonito","4315909","-27,470403000000","-53,168531000000","68,0"
"Rolador","4315958","-28,256344000000","-54,819427000000","32,3"
"Rolante","4316006","-29,640763000000","-50,573442000000","78,0"
"Ronda Alta","4316105","-27,781931000000","-52,806534000000","75,3"
"Rondinha","4316204","-27,831816000000","-52,906160000000","51,6"
"Roque Gonzales","4316303","-28,135367000000","-55,029186000000","49,3"
"Rosário do Sul","4316402","-30,244033000000","-54,945761000000","89,2"
"Sagrada Família","4316428","-27,706731000000","-53,135652000000","44,3"
"Saldanha Marinho","4316436","-28,403286000000","-53,094107000000","73,4"
"Salto do Jacuí","4316451","-29,088681000000","-53,213310000000","86,1"
"Salvador das Missões","4316477","-28,121697000000","-54,837742000000","57,6"
"Salvador do Sul","4316501","-29,439732000000","-51,509421000000","63,3"
"Sananduva","4316600","-27,944007000000","-51,813502000000","75,5"
"Santa Bárbara do Sul","4316709","-28,365167000000","-53,250527000000","82,0"
"Santa Cecília do Sul","4316733","-28,164451000000","-51,926671000000","40,5"
"Santa Clara do Sul","4316758","-29,463596000000","-52,080926000000","70,3"
"Santa Cruz do Sul","4316808","-29,719768000000","-52,429929000000","90,0"
"Santa Margarida do Sul","4316972","-30,345103000000","-54,090955000000","22,7"
"Santa Maria","4316907","-29,685582000000","-53,808675000000","96,2"
"Santa Maria do Herval","4316956","-29,503516000000","-50,987255000000","47,2"
"Santa Rosa","4317202","-27,866750000000","-54,478224000000","91,9"
"Santa Tereza","4317251","-29,171634000000","-51,734344000000","37,5"
"Santa Vitória do Palmar","4317301","-33,519860000000","-53,367006000000","87,1"
"Santana da Boa Vista","4317004","-30,874703000000","-53,115875000000","56,5"
"Santana do Livramento","4317103","-30,889384000000","-55,534814000000","91,1"
"Santiago","4317400","-29,191460000000","-54,869076000000","92,1"
"Santo Ângelo","4317509","-28,301938000000","-54,264143000000","94,7"
"Santo Antônio da Patrulha","4317608","-29,832034000000","-50,520986000000","76,9"
"Santo Antônio das Missões","4317707","-28,508097000000","-55,224557000000","68,4"
"Santo Antônio do Palma","4317558","-28,497445000000","-52,024633000000","41,7"
"Santo Antônio do Planalto","4317756","-28,395929000000","-52,683726000000","75,3"
"Santo Augusto","4317806","-27,853491000000","-53,778850000000","86,5"
"Santo Cristo","4317905","-27,819930000000","-54,668748000000","61,5"
"Santo Expedito do Sul","4317954","-27,909369000000","-51,643572000000","48,0"
"São Borja","4318002","-28,662838000000","-56,001029000000","89,9"
"São Domingos do Sul","4318051","-28,531763000000","-51,893187000000","73,3"
"São Francisco de Assis","4318101","-29,552716000000","-55,132386000000","74,7"
"São Francisco de Paula","4318200","-29,444098000000","-50,582108000000","71,7"
"São Gabriel","4318309","-30,336760000000","-54,320478000000","90,2"
"São Jerônimo","4318408","-29,959439000000","-51,728178000000","78,3"
"São João da Urtiga","4318424","-27,826690000000","-51,825839000000","59,9"
"São João do Polêsine","4318432","-29,614676000000","-53,446350000000","61,7"
"São Jorge","4318440","-28,498081000000","-51,702969000000","54,2"
"São José das Missões","4318457","-27,778183000000","-53,118775000000","41,1"
"São José do Herval","4318465","-29,041447000000","-52,293016000000","43,5"
"São José do Hortêncio","4318481","-29,540049000000","-51,249598000000","59,8"
"São José do Inhacorá","4318499","-27,722585000000","-54,133550000000","58,8"
"São José do Norte","4318507","-32,020609000000","-52,034202000000","75,9"
"São José do Ouro","4318606","-27,771255000000","-51,594768000000","64,9"
"São José do Sul","4318614","-29,543470000000","-51,486384000000","39,1"
"São José dos Ausentes","4318622","-28,749906000000","-50,063613000000","59,4"
"São Leopoldo","4318705","-29,765867000000","-51,146235000000","99,5"
"São Lourenço do Sul","4318804","-31,364024000000","-51,976915000000","59,9"
"São Luiz Gonzaga","4318903","-28,406647000000","-54,959660000000","91,7"
"São Marcos","4319000","-28,969849000000","-51,066707000000","86,4"
